id,organisation_name,organisation_code,indicator_total_weighted_points,indicator_id,indicator_name,indicator_category_name,indicator_subcategory_name,indicator_category_subcategory,indicator_order,indicator_weight,iati_manual,publication_format,publication_format_points,total_points,iati_data_quality_passed,iati_data_quality_points,iati_data_quality_frequency,iati_data_quality_frequency_value,iati_data_quality_frequency_multiplier,iati_data_quality_total_points,survey_publication_status,survey_publication_status_value,survey_ordinal_value,survey_publication_format,survey_publication_format_value,survey_total_points
CN-1-expenditure-actual,"China, MOFCOM",CN-1,0,expenditure-actual,Disbursements and expenditure,activity,financial,activity-financial,35,0.0325,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
CN-1-budget-identifier,"China, MOFCOM",CN-1,0,budget-identifier,Budget Identifier,activity,financial,activity-financial,36,0.0325,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
CN-1-results,"China, MOFCOM",CN-1,0,results,Results,activity,performance,activity-performance,37,0.0433,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
CN-1-impact-appraisals,"China, MOFCOM",CN-1,0,impact-appraisals,Impact Appraisals,activity,performance,activity-performance,38,0.0433,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
CN-1-conditions,"China, MOFCOM",CN-1,0,conditions,Conditions,activity,performance,activity-performance,39,0.0433,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
CN-1-foia,"China, MOFCOM",CN-1,2.219778,foia,FOIA,commitment,,commitment-,1,0.0333,manual,not-applicable,66.66,66.66,0,0,,1,1,0,,0,66.66,,0,66.66
CN-1-implementation-schedules,"China, MOFCOM",CN-1,0,implementation-schedules,Implementation schedules,commitment,,commitment-,2,0.0333,manual,not-applicable,0,0,0,0,,1,1,0,,0,0,not-published,50,0
CN-1-accessibility,"China, MOFCOM",CN-1,0,accessibility,Accessibility,commitment,,commitment-,3,0.0333,manual,not-applicable,0,0,0,0,,1,1,0,,0,0,not-published,50,0
CA-1-strategy,"Canada, DFATD",CA-1,2.5,strategy,Organisation strategy,organisation,planning,organisation-planning,4,0.025,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-procurement-policy,"Canada, DFATD",CA-1,2.5,procurement-policy,Procurement policy,organisation,planning,organisation-planning,7,0.025,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-country-strategy,"Canada, DFATD",CA-1,1.785714286,country-strategy,Country strategy,organisation,Planning,organisation-Planning,8,0.025,iati,iati,50,71.42857143,42.85714286,21.42857143,monthly,1,1,21.42857143,,,,,,0
CA-1-total-budget,"Canada, DFATD",CA-1,3.475,total-budget,Total budget,organisation,Financial,organisation-Financial,9,0.0417,iati,iati,50,83.33333333,66.66666667,33.33333333,monthly,1,1,33.33333333,,,,,,0
CA-1-disaggregated-budgets,"Canada, DFATD",CA-1,3.475,disaggregated-budgets,Disaggregated budgets,organisation,Financial,organisation-Financial,10,0.0417,iati,iati,50,83.33333333,66.66666667,33.33333333,monthly,1,1,33.33333333,,,,,,0
CA-1-audit,"Canada, DFATD",CA-1,4.17,audit,Audit,organisation,financial,organisation-financial,11,0.0417,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-implementer,"Canada, DFATD",CA-1,1.63,implementer,Implementer,activity,basic,activity-basic,12,0.0163,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-unique-id,"Canada, DFATD",CA-1,1.63,unique-id,Unique ID,activity,basic,activity-basic,13,0.0163,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-title,"Canada, DFATD",CA-1,1.63,title,Title,activity,basic,activity-basic,14,0.0163,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-description,"Canada, DFATD",CA-1,1.63,description,Description,activity,basic,activity-basic,15,0.0163,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-dates-planned,"Canada, DFATD",CA-1,1.171906672,dates-planned,Planned dates,activity,basic,activity-basic,16,0.0163,iati,iati,50,71.89611486,43.79222973,21.89611486,monthly,1,1,21.89611486,,,,,,0
CA-1-dates-actual,"Canada, DFATD",CA-1,1.63,dates-actual,Actual dates,activity,basic,activity-basic,17,0.0163,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-current-status,"Canada, DFATD",CA-1,1.63,current-status,Current Status,activity,basic,activity-basic,18,0.0163,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-contact-details,"Canada, DFATD",CA-1,1.63,contact-details,Contact details,activity,basic,activity-basic,19,0.0163,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-collaboration-type,"Canada, DFATD",CA-1,1.857643581,collaboration-type,Collaboration Type,activity,classifications,activity-classifications,20,0.0186,iati,iati,50,99.87331081,99.74662162,49.87331081,monthly,1,1,49.87331081,,,,,,0
CA-1-flow-type,"Canada, DFATD",CA-1,1.86,flow-type,Flow Type,activity,classifications,activity-classifications,21,0.0186,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-aid-type,"Canada, DFATD",CA-1,1.858429054,aid-type,Aid Type,activity,classifications,activity-classifications,22,0.0186,iati,iati,50,99.91554054,99.83108108,49.91554054,monthly,1,1,49.91554054,,,,,,0
CA-1-finance-type,"Canada, DFATD",CA-1,1.86,finance-type,Finance Type,activity,classifications,activity-classifications,23,0.0186,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-sector,"Canada, DFATD",CA-1,1.859214527,sector,Sector,activity,classifications,activity-classifications,24,0.0186,iati,iati,50,99.95777027,99.91554054,49.95777027,monthly,1,1,49.95777027,,,,,,0
CA-1-location,"Canada, DFATD",CA-1,1.419473684,location,Sub-national location,activity,classifications,activity-classifications,25,0.0186,iati,iati,50,76.31578947,52.63157895,26.31578947,monthly,1,1,26.31578947,,,,,,0
CA-1-tied-aid-status,"Canada, DFATD",CA-1,1.86,tied-aid-status,Tied Aid Status,activity,classifications,activity-classifications,26,0.0186,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-objectives,"Canada, DFATD",CA-1,2.17,objectives,Objectives,activity,related-documents,activity-related-documents,29,0.0217,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-cost-overall,"Canada, DFATD",CA-1,2.346590909,cost-overall,Budget,activity,financial,activity-financial,33,0.0325,iati,iati,50,72.2027972,44.40559441,22.2027972,monthly,1,1,22.2027972,,,,,,0
CA-1-expenditure-planned,"Canada, DFATD",CA-1,3.25,expenditure-planned,Commitments,activity,financial,activity-financial,34,0.0325,iati,iati,50,100,100,50,monthly,1,1,50,,,,,,0
CA-1-expenditure-actual,"Canada, DFATD",CA-1,3.002956081,expenditure-actual,Disbursements and expenditure,activity,financial,activity-financial,35,0.0325,iati,iati,50,92.39864865,84.7972973,42.39864865,monthly,1,1,42.39864865,,,,,,0
CA-1-budget-identifier,"Canada, DFATD",CA-1,1.647530329,budget-identifier,Budget Identifier,activity,financial,activity-financial,36,0.0325,iati,iati,50,50.6932409,1.386481802,0.693240901,monthly,1,1,0.693240901,,,,,,0
CA-1-results,"Canada, DFATD",CA-1,3.155158361,results,Results,activity,performance,activity-performance,37,0.0433,iati,iati,50,72.86739865,45.7347973,22.86739865,monthly,1,1,22.86739865,,,,,,0
CA-1-conditions,"Canada, DFATD",CA-1,3.2475,conditions,Conditions,activity,performance,activity-performance,39,0.0433,iati,iati,50,75,50,25,monthly,1,1,25,,,,,,0
CA-1-tenders,"Canada, DFATD",CA-1,1.085,tenders,Tenders,activity,related-documents,activity-related-documents,32,0.0217,manual,document,50,50,0,0,monthly,1,1,0,always,1,,document,50,50
CA-1-annual-report,"Canada, DFATD",CA-1,1.25,annual-report,Annual report,organisation,planning,organisation-planning,5,0.025,manual,document,50,50,0,0,monthly,1,1,0,always,1,,document,50,50
CA-1-allocation,"Canada, DFATD",CA-1,1.25,allocation,Allocation policy,organisation,planning,organisation-planning,6,0.025,manual,document,50,50,0,0,monthly,1,1,0,always,1,,document,50,50
CA-1-impact-appraisals,"Canada, DFATD",CA-1,0,impact-appraisals,Impact Appraisals,activity,performance,activity-performance,38,0.0433,manual,document,0,0,0,0,monthly,1,1,0,not published,0,,document,50,0
CA-1-mou,"Canada, DFATD",CA-1,0,mou,MoU,activity,related-documents,activity-related-documents,27,0.0217,manual,document,0,0,0,0,monthly,1,1,0,sometimes,0,,document,50,0
CA-1-evaluations,"Canada, DFATD",CA-1,1.085,evaluations,Evaluations,activity,related-documents,activity-related-documents,28,0.0217,manual,document,50,50,0,0,monthly,1,1,0,always,1,,document,50,50
CA-1-budget,"Canada, DFATD",CA-1,0,budget,Budget Docs,activity,related-documents,activity-related-documents,30,0.0217,manual,document,0,0,0,0,monthly,1,1,0,not published,0,,document,50,0
CA-1-contracts,"Canada, DFATD",CA-1,1.085,contracts,Contracts,activity,related-documents,activity-related-documents,31,0.0217,manual,document,50,50,0,0,monthly,1,1,0,always,1,,document,50,50
CA-1-foia,"Canada, DFATD",CA-1,2.219778,foia,FOIA,commitment,,commitment-,1,0.0333,manual,not-applicable,66.66,66.66,0,0,monthly,1,1,0,,0,66.66,,0,66.66
CA-1-implementation-schedules,"Canada, DFATD",CA-1,3.1302,implementation-schedules,Implementation schedules,commitment,,commitment-,2,0.0333,manual,not-applicable,94,94,0,0,monthly,1,1,0,,0,94,,0,94
CA-1-accessibility,"Canada, DFATD",CA-1,3.33,accessibility,Accessibility,commitment,,commitment-,3,0.0333,manual,not-applicable,100,100,0,0,monthly,1,1,0,,0,100,,0,100
IT-4-strategy,"Italy, MAE",IT-4,1.25,strategy,Organisation strategy,organisation,planning,organisation-planning,4,0.025,manual,document,50,50,0,0,,1,1,0,always,1,,document,50,50
IT-4-annual-report,"Italy, MAE",IT-4,1.25,annual-report,Annual report,organisation,planning,organisation-planning,5,0.025,manual,document,50,50,0,0,,1,1,0,always,1,,document,50,50
IT-4-allocation,"Italy, MAE",IT-4,1.25,allocation,Allocation policy,organisation,planning,organisation-planning,6,0.025,manual,document,50,50,0,0,,1,1,0,always,1,,document,50,50
IT-4-procurement-policy,"Italy, MAE",IT-4,1.25,procurement-policy,Procurement policy,organisation,planning,organisation-planning,7,0.025,manual,document,50,50,0,0,,1,1,0,always,1,,document,50,50
IT-4-country-strategy,"Italy, MAE",IT-4,0,country-strategy,Country strategy,organisation,planning,organisation-planning,8,0.025,manual,document,0,0,0,0,,1,1,0,sometimes,0,,document,50,0
IT-4-total-budget,"Italy, MAE",IT-4,0,total-budget,Total budget,organisation,financial,organisation-financial,9,0.0417,manual,,0,0,0,0,,1,1,0,,0,2,,0,0
IT-4-disaggregated-budgets,"Italy, MAE",IT-4,0,disaggregated-budgets,Disaggregated budgets,organisation,financial,organisation-financial,10,0.0417,manual,not-published,0,0,0,0,,1,1,0,,0,0,not-published,50,0
IT-4-audit,"Italy, MAE",IT-4,2.085,audit,Audit,organisation,financial,organisation-financial,11,0.0417,manual,document,50,50,0,0,,1,1,0,always,1,,document,50,50
IT-4-implementer,"Italy, MAE",IT-4,0.543279,implementer,Implementer,activity,basic,activity-basic,12,0.0163,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
IT-4-unique-id,"Italy, MAE",IT-4,0.543279,unique-id,Unique ID,activity,basic,activity-basic,13,0.0163,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
IT-4-title,"Italy, MAE",IT-4,0.543279,title,Title,activity,basic,activity-basic,14,0.0163,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
IT-4-description,"Italy, MAE",IT-4,0,description,Description,activity,basic,activity-basic,15,0.0163,manual,website,0,0,0,0,,1,1,0,sometimes,0,,website,33.33,0
IT-4-dates-planned,"Italy, MAE",IT-4,0,dates-planned,Planned dates,activity,basic,activity-basic,16,0.0163,manual,website,0,0,0,0,,1,1,0,sometimes,0,,website,33.33,0
IT-4-dates-actual,"Italy, MAE",IT-4,0,dates-actual,Actual dates,activity,basic,activity-basic,17,0.0163,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
IT-4-current-status,"Italy, MAE",IT-4,0,current-status,Current Status,activity,basic,activity-basic,18,0.0163,manual,website,0,0,0,0,,1,1,0,sometimes,0,,website,33.33,0
IT-4-contact-details,"Italy, MAE",IT-4,0.543279,contact-details,Contact details,activity,basic,activity-basic,19,0.0163,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
IT-4-collaboration-type,"Italy, MAE",IT-4,0.619938,collaboration-type,Collaboration Type,activity,classifications,activity-classifications,20,0.0186,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
IT-4-flow-type,"Italy, MAE",IT-4,0,flow-type,Flow Type,activity,classifications,activity-classifications,21,0.0186,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
IT-4-aid-type,"Italy, MAE",IT-4,0,aid-type,Aid Type,activity,classifications,activity-classifications,22,0.0186,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
IT-4-finance-type,"Italy, MAE",IT-4,0,finance-type,Finance Type,activity,classifications,activity-classifications,23,0.0186,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
IT-4-sector,"Italy, MAE",IT-4,0.619938,sector,Sector,activity,classifications,activity-classifications,24,0.0186,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
IT-4-location,"Italy, MAE",IT-4,0,location,Sub-national location,activity,classifications,activity-classifications,25,0.0186,manual,website,0,0,0,0,,1,1,0,sometimes,0,,website,33.33,0
IT-4-tied-aid-status,"Italy, MAE",IT-4,0,tied-aid-status,Tied Aid Status,activity,classifications,activity-classifications,26,0.0186,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
IT-4-mou,"Italy, MAE",IT-4,0,mou,MoU,activity,related-documents,activity-related-documents,27,0.0217,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
IT-4-evaluations,"Italy, MAE",IT-4,1.085,evaluations,Evaluations,activity,related-documents,activity-related-documents,28,0.0217,manual,document,50,50,0,0,,1,1,0,always,1,,document,50,50
IT-4-objectives,"Italy, MAE",IT-4,0,objectives,Objectives,activity,related-documents,activity-related-documents,29,0.0217,manual,document,0,0,0,0,,1,1,0,sometimes,0,,document,50,0
IT-4-budget,"Italy, MAE",IT-4,0,budget,Budget Docs,activity,related-documents,activity-related-documents,30,0.0217,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
IT-4-contracts,"Italy, MAE",IT-4,1.085,contracts,Contracts,activity,related-documents,activity-related-documents,31,0.0217,manual,document,50,50,0,0,,1,1,0,always,1,,document,50,50
IT-4-tenders,"Italy, MAE",IT-4,1.085,tenders,Tenders,activity,related-documents,activity-related-documents,32,0.0217,manual,document,50,50,0,0,,1,1,0,always,1,,document,50,50
IT-4-cost-overall,"Italy, MAE",IT-4,0,cost-overall,Budget,activity,financial,activity-financial,33,0.0325,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
IT-4-expenditure-planned,"Italy, MAE",IT-4,1.083225,expenditure-planned,Commitments,activity,financial,activity-financial,34,0.0325,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
IT-4-expenditure-actual,"Italy, MAE",IT-4,0,expenditure-actual,Disbursements and expenditure,activity,financial,activity-financial,35,0.0325,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
IT-4-budget-identifier,"Italy, MAE",IT-4,0,budget-identifier,Budget Identifier,activity,financial,activity-financial,36,0.0325,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
IT-4-results,"Italy, MAE",IT-4,0,results,Results,activity,performance,activity-performance,37,0.0433,manual,website,0,0,0,0,,1,1,0,sometimes,0,,website,33.33,0
IT-4-impact-appraisals,"Italy, MAE",IT-4,0,impact-appraisals,Impact Appraisals,activity,performance,activity-performance,38,0.0433,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
IT-4-conditions,"Italy, MAE",IT-4,0,conditions,Conditions,activity,performance,activity-performance,39,0.0433,manual,document,0,0,0,0,,1,1,0,not published,0,,document,50,0
IT-4-foia,"Italy, MAE",IT-4,1.109889,foia,FOIA,commitment,,commitment-,1,0.0333,manual,not-applicable,33.33,33.33,0,0,,1,1,0,,0,33.33,,0,33.33
IT-4-implementation-schedules,"Italy, MAE",IT-4,0,implementation-schedules,Implementation schedules,commitment,,commitment-,2,0.0333,manual,not-applicable,0,0,0,0,,1,1,0,,0,0,not-published,50,0
IT-4-accessibility,"Italy, MAE",IT-4,0,accessibility,Accessibility,commitment,,commitment-,3,0.0333,manual,not-applicable,0,0,0,0,,1,1,0,,0,0,not-published,50,0
KR-4-strategy,"Korea, KOICA",KR-4,0,strategy,Organisation strategy,organisation,planning,organisation-planning,4,0.025,manual,document,0,0,0,0,,1,1,0,sometimes,0,,document,50,0
KR-4-annual-report,"Korea, KOICA",KR-4,1.25,annual-report,Annual report,organisation,planning,organisation-planning,5,0.025,manual,document,50,50,0,0,,1,1,0,always,1,,document,50,50
KR-4-allocation,"Korea, KOICA",KR-4,0,allocation,Allocation policy,organisation,planning,organisation-planning,6,0.025,manual,document,0,0,0,0,,1,1,0,sometimes,0,,document,50,0
KR-4-procurement-policy,"Korea, KOICA",KR-4,1.25,procurement-policy,Procurement policy,organisation,planning,organisation-planning,7,0.025,manual,document,50,50,0,0,,1,1,0,always,1,,document,50,50
KR-4-country-strategy,"Korea, KOICA",KR-4,1.25,country-strategy,Country strategy,organisation,planning,organisation-planning,8,0.025,manual,document,50,50,0,0,,1,1,0,always,1,,document,50,50
KR-4-total-budget,"Korea, KOICA",KR-4,1.39,total-budget,Total budget,organisation,financial,organisation-financial,9,0.0417,manual,machine-readable,33.33333333,33.33333333,0,0,,1,1,0,,0,2,machine-readable,50,33.33333333
KR-4-disaggregated-budgets,"Korea, KOICA",KR-4,1.39,disaggregated-budgets,Disaggregated budgets,organisation,financial,organisation-financial,10,0.0417,manual,machine-readable,33.33333333,33.33333333,0,0,,1,1,0,,0,2,machine-readable,50,33.33333333
KR-4-audit,"Korea, KOICA",KR-4,2.085,audit,Audit,organisation,financial,organisation-financial,11,0.0417,manual,document,50,50,0,0,,1,1,0,always,1,,document,50,50
KR-4-implementer,"Korea, KOICA",KR-4,0,implementer,Implementer,activity,basic,activity-basic,12,0.0163,manual,machine-readable,0,0,0,0,,1,1,0,sometimes,0,,machine-readable,50,0
KR-4-unique-id,"Korea, KOICA",KR-4,0,unique-id,Unique ID,activity,basic,activity-basic,13,0.0163,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
KR-4-title,"Korea, KOICA",KR-4,0.815,title,Title,activity,basic,activity-basic,14,0.0163,manual,machine-readable,50,50,0,0,,1,1,0,always,1,,machine-readable,50,50
KR-4-description,"Korea, KOICA",KR-4,0.543279,description,Description,activity,basic,activity-basic,15,0.0163,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
KR-4-dates-planned,"Korea, KOICA",KR-4,0,dates-planned,Planned dates,activity,basic,activity-basic,16,0.0163,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
KR-4-dates-actual,"Korea, KOICA",KR-4,0,dates-actual,Actual dates,activity,basic,activity-basic,17,0.0163,manual,,0,0,0,0,,1,1,0,not published,0,,,0,0
KR-4-current-status,"Korea, KOICA",KR-4,0,current-status,Current Status,activity,basic,activity-basic,18,0.0163,manual,website,0,0,0,0,,1,1,0,sometimes,0,,website,33.33,0
KR-4-contact-details,"Korea, KOICA",KR-4,0.543279,contact-details,Contact details,activity,basic,activity-basic,19,0.0163,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
KR-4-collaboration-type,"Korea, KOICA",KR-4,0.619938,collaboration-type,Collaboration Type,activity,classifications,activity-classifications,20,0.0186,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
KR-4-flow-type,"Korea, KOICA",KR-4,0.619938,flow-type,Flow Type,activity,classifications,activity-classifications,21,0.0186,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
KR-4-aid-type,"Korea, KOICA",KR-4,0.93,aid-type,Aid Type,activity,classifications,activity-classifications,22,0.0186,manual,machine-readable,50,50,0,0,,1,1,0,always,1,,machine-readable,50,50
KR-4-finance-type,"Korea, KOICA",KR-4,0.619938,finance-type,Finance Type,activity,classifications,activity-classifications,23,0.0186,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
KR-4-sector,"Korea, KOICA",KR-4,0.93,sector,Sector,activity,classifications,activity-classifications,24,0.0186,manual,machine-readable,50,50,0,0,,1,1,0,always,1,,machine-readable,50,50
KR-4-location,"Korea, KOICA",KR-4,0.619938,location,Sub-national location,activity,classifications,activity-classifications,25,0.0186,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
KR-4-tied-aid-status,"Korea, KOICA",KR-4,0.619938,tied-aid-status,Tied Aid Status,activity,classifications,activity-classifications,26,0.0186,manual,website,33.33,33.33,0,0,,1,1,0,always,1,,website,33.33,33.33
KR-4-mou,"Korea, KOICA",KR-4,0,mou,MoU,activity,related-documents,activity-related-documents,27,0.0217,manual,document,0,0,0,0,,1,1,0,sometimes,0,,document,50,0
KR-4-evaluations,"Korea, KOICA",KR-4,0,evaluations,Evaluations,activity,related-documents,activity-related-documents,28,0.0217,manual,document,0,0,0,0,,1,1,0,sometimes,0,,document,50,0
KR-4-objectives,"Korea, KOICA",KR-4,0,objectives,Objectives,activity,related-documents,activity-related-documents,29,0.0217,manual,document,0,0,0,0,,1,1,0,sometimes,0,,document,50,0
