question_id,question_name,organisation_id,organisation_short,agency_short,result,result_evidence,result_comments
29,Impact appraisal,5,Cyprus,,1,,
30,Objectives,5,Cyprus,,3,http://www.planning.gov.cy/planning/planning.nsf/dmlcyactivities_en/dmlcyactivities_en?OpenDocument ,
31,Beneficiaries,5,Cyprus,,2,,
32,Conditions,5,Cyprus,,2,,
33,Budget docs,5,Cyprus,,2,,
34,Tender docs,5,Cyprus,,2,,
35,Contract docs,5,Cyprus,,2,,
36,MoU / agreement,5,Cyprus,,2,,
37,Project design docs,5,Cyprus,,2,,
1,FOIA,6,Czech Republic,,1,,
2,IATI,6,Czech Republic,,0,,
3,Allocation policy,6,Czech Republic,,4,http://www.mzv.cz/jnp/cz/zahranicni_vztahy/rozvojova_spoluprace/koncepce_publikace/koncepce_zrs_cr_2010_2017.html,New aid allocation policy added.
4,Procurement policy,6,Czech Republic,,4,http://www.czda.cz/cra/verejne-zakazky.htm,
5,Organisation budget,6,Czech Republic,,2,,
6,Forward budget,6,Czech Republic,,2,,
7,Audit,6,Czech Republic,,1,,
8,Country strategy,6,Czech Republic,,4,http://www.mzv.cz/public/8a/18/d2/698492_600988_Development_Cooperation_Programme_Moldova_2011_2017.pdf ,New country strategy paper added.
9,Country forward budget,6,Czech Republic,,2,,
10,Evaluation,6,Czech Republic,,3,http://www.czda.cz/czda/en_126/en_138/en_194.htm,
11,Results,6,Czech Republic,,1,,
12,Project Implementer,6,Czech Republic,,4,http://www.czda.cz/czda/en_126/en_138/en_194.htm,
13,Collaboration type,6,Czech Republic,,4,http://www.czda.cz/czda/en_126/en_138/en_194.htm,Stated for all projects on CzDA website.
14,Flow type: ODA / OOF,6,Czech Republic,,2,http://www.czda.cz/czda/en_126/en_138/en_194.htm,Not explicitly stated.
15,Project / budget support,6,Czech Republic,,2,,
16,Grant / loan,6,Czech Republic,,2,,
17,Unique ID,6,Czech Republic,,4,http://www.czda.cz/czda/en_126/en_138/en_194.htm,
18,Project Title,6,Czech Republic,,4,http://www.czda.cz/czda/en_126/en_138/en_194.htm,
19,Description,6,Czech Republic,,4,http://www.czda.cz/czda/en_126/en_138/en_194.htm,
20,Sectors,6,Czech Republic,,4,http://www.czda.cz/czda/en_126/en_138/en_194.htm,
21,Planned dates,6,Czech Republic,,4,http://www.czda.cz/czda/en_126/en_138/en_194.htm,
22,Actual dates,6,Czech Republic,,2,,
23,Tied aid status,6,Czech Republic,,1,,
24,Overall cost,6,Czech Republic,,4,http://www.czda.cz/czda/en_126/en_138/en_194.htm,
25,Transactions,6,Czech Republic,,2,http://www.czda.cz/czda/en_126/en_138/en_194.htm,Not stated.
26,Current status,6,Czech Republic,,4,http://www.czda.cz/czda/en_126/en_138/en_194.htm,
27,Contact details,6,Czech Republic,,2,,
28,Project website,6,Czech Republic,,1,,
29,Impact appraisal,6,Czech Republic,,2,,
30,Objectives,6,Czech Republic,,4,http://www.czda.cz/czda/en_126/en_138/en_194.htm,
31,Beneficiaries,6,Czech Republic,,4,http://www.czda.cz/czda/en_126/en_138/en_194.htm,
32,Conditions,6,Czech Republic,,2,,
33,Budget docs,6,Czech Republic,,2,,
34,Tender docs,6,Czech Republic,,4,http://www.czda.cz/czda/en_126/en_138/en_194.htm,
35,Contract docs,6,Czech Republic,,1,,
36,MoU / agreement,6,Czech Republic,,1,,
37,Project design docs,6,Czech Republic,,1,,
1,FOIA,7,Denmark,,1,,
2,IATI,7,Denmark,,2,,
3,Allocation policy,7,Denmark,,4,http://danida-publikationer.dk/publikationer/publikationsdetaljer.aspx?PId=cda6ab5f-a0e4-41e3-b3b8-f5ab6ea12974,
4,Procurement policy,7,Denmark,,2,,
5,Organisation budget,7,Denmark,,4,http://danida-publikationer.dk/publikationer/publikationsdetaljer.aspx?PId=cda6ab5f-a0e4-41e3-b3b8-f5ab6ea12974,
6,Forward budget,7,Denmark,,4,http://danida-publikationer.dk/publikationer/publikationsdetaljer.aspx?PId=cda6ab5f-a0e4-41e3-b3b8-f5ab6ea12974,
7,Audit,7,Denmark,,2,,
8,Country strategy,7,Denmark,,4,http://www.netpublikationer.dk/um/8176/pdf/Tanzania_Strategy_b.pdf,
9,Country forward budget,7,Denmark,,4,http://www.ambdaressalaam.um.dk/en/menu/DevelopmentAssistance/JointAssistanceStrategy/*****http://www.netpublikationer.dk/um/10513/pdf/priorities_danish_development_assistance.pdf,
10,Evaluation,7,Denmark,,3,http://um.dk/en/danida-en/results/eval/eval_reports/,
11,Results,7,Denmark,,2,,
12,Project Implementer,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
13,Collaboration type,7,Denmark,,3,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,"The word 'bilateral' is used briefly in passing, but not clear if it the sole collaboration type."
14,Flow type: ODA / OOF,7,Denmark,,2,,Not explicitly stated.
15,Project / budget support,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
16,Grant / loan,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
17,Unique ID,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
18,Project Title,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
19,Description,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
20,Sectors,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
21,Planned dates,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
22,Actual dates,7,Denmark,,2,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,Dates are from a project document so cannot indicate actual dates.
23,Tied aid status,7,Denmark,,2,,
24,Overall cost,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
25,Transactions,7,Denmark,,2,,
26,Current status,7,Denmark,,2,,Project document so it cannot indicate the current status.
27,Contact details,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
28,Project website,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
29,Impact appraisal,7,Denmark,,3,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
30,Objectives,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
31,Beneficiaries,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
32,Conditions,7,Denmark,,2,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,Conditions do not appear to be in the project document.
33,Budget docs,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
34,Tender docs,7,Denmark,,2,,
35,Contract docs,7,Denmark,,2,,
36,MoU / agreement,7,Denmark,,2,,This does not appear to be in the project document.
37,Project design docs,7,Denmark,,4,http://www.ambdaressalaam.um.dk/NR/rdonlyres/7179611B-3080-4784-9151-E4BF8924DB4F/0/HSPSIVOverallProgrammeDocumentJune2009.pdf,
1,FOIA,8,Estonia,,1,,
2,IATI,8,Estonia,,0,,
3,Allocation policy,8,Estonia,,4,http://www.vm.ee/sites/default/files/Arengukava2011-2015_ENG.pdf ,
4,Procurement policy,8,Estonia,,4,http://www.vm.ee/sites/default/files/Abi_andmise_kord.pdf ,
5,Organisation budget,8,Estonia,,4,http://www.vm.ee/sites/default/files/Arengukava2011-2015_ENG.pdf ,
6,Forward budget,8,Estonia,,4,http://www.vm.ee/sites/default/files/Arengukava2011-2015_ENG.pdf ,
7,Audit,8,Estonia,,1,,
8,Country strategy,8,Estonia,,4,http://www.vm.ee/sites/default/files/Abi_andmise_kord.pdf ,
9,Country forward budget,8,Estonia,,1,,
10,Evaluation,8,Estonia,,2,,
11,Results,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
12,Project Implementer,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
13,Collaboration type,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
14,Flow type: ODA / OOF,8,Estonia,,2,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,Not explicitly stated.
15,Project / budget support,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
16,Grant / loan,8,Estonia,,2,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,Not explicitly stated.
17,Unique ID,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
18,Project Title,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
19,Description,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
20,Sectors,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
21,Planned dates,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
22,Actual dates,8,Estonia,,2,,
23,Tied aid status,8,Estonia,,2,,Not explicitly stated.
24,Overall cost,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
25,Transactions,8,Estonia,,2,,
26,Current status,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
27,Contact details,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
28,Project website,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
29,Impact appraisal,8,Estonia,,3,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
30,Objectives,8,Estonia,,4,https://rakendused.vm.ee/akta/andmed_vaata.php?id=1539,
31,Beneficiaries,8,Estonia,,2,,
32,Conditions,8,Estonia,,2,,Not explicitly stated.
33,Budget docs,8,Estonia,,2,,
34,Tender docs,8,Estonia,,4,https://riigihanked.riik.ee/,
35,Contract docs,8,Estonia,,2,,
36,MoU / agreement,8,Estonia,,1,,
37,Project design docs,8,Estonia,,2,,
1,FOIA,9,EC,EuropeAid,1,,
2,IATI,9,EC,EuropeAid,2,,
3,Allocation policy,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/work/ap/index_en.htm,
4,Procurement policy,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/work/procedures/implementation/practical_guide/index_en.htm,
5,Organisation budget,9,EC,EuropeAid,4,"http://ec.europa.eu/budget/library/biblio/publications/2010/fin_report/fin_report_10_en.pdf*****http://eur-lex.europa.eu/LexUriServ/site/en/oj/2006/l_247/l_24720060909en00220025.pdf 

","First link is EC budget, 2nd link is EDF."
6,Forward budget,9,EC,EuropeAid,1,,
7,Audit,9,EC,EuropeAid,4,http://eca.europa.eu/portal/pls/portal/docs/1/7158769.PDF,
8,Country strategy,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/where/neighbourhood/country-cooperation/occupied_palestinian_territory/occupied-palestinian-territory_en.htm,
9,Country forward budget,9,EC,EuropeAid,2,http://ec.europa.eu/europeaid/where/neighbourhood/country-cooperation/occupied_palestinian_territory/occupied-palestinian-territory_en.htm,EC: programming for OPT is carried out annually due to the current context.
10,Evaluation,9,EC,EuropeAid,2,,
11,Results,9,EC,EuropeAid,2,,
12,Project Implementer,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf*****http://ec.europa.eu/europeaid/work/funding/beneficiaries/index.cfm?lang=en ,
13,Collaboration type,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf,
14,Flow type: ODA / OOF,9,EC,EuropeAid,2,,
15,Project / budget support,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf,
16,Grant / loan,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf,
17,Unique ID,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/work/funding/beneficiaries/index.cfm?lang=en ,
18,Project Title,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf*****http://ec.europa.eu/europeaid/work/funding/beneficiaries/index.cfm?lang=en ,
19,Description,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf,
20,Sectors,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf*****http://ec.europa.eu/europeaid/work/funding/beneficiaries/index.cfm?lang=en ,
21,Planned dates,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf,
22,Actual dates,9,EC,EuropeAid,2,,
23,Tied aid status,9,EC,EuropeAid,2,,
24,Overall cost,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf*****http://ec.europa.eu/europeaid/work/funding/beneficiaries/index.cfm?lang=en ,
25,Transactions,9,EC,EuropeAid,2,,
26,Current status,9,EC,EuropeAid,2,,
27,Contact details,9,EC,EuropeAid,3,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf,
28,Project website,9,EC,EuropeAid,4,http://eeas.europa.eu/delegations/westbank/index_en.htm,
29,Impact appraisal,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf,
30,Objectives,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf,
31,Beneficiaries,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf,
32,Conditions,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf,
33,Budget docs,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf,
34,Tender docs,9,EC,EuropeAid,4,http://ted.europa.eu/TED/main/HomePage.do,
35,Contract docs,9,EC,EuropeAid,2,,
36,MoU / agreement,9,EC,EuropeAid,2,,
37,Project design docs,9,EC,EuropeAid,4,http://ec.europa.eu/europeaid/documents/aap/2011/af_aap-spe_2011_pse.pdf,
1,FOIA,10,Finland,,1,,
2,IATI,10,Finland,,2,,
3,Allocation policy,10,Finland,,3,http://formin.finland.fi/public/default.aspx?contentid=107497&nodeid=15457&contentlan=2&culture=en-US,
4,Procurement policy,10,Finland,,4,http://formin.finland.fi/public/default.aspx?nodeid=15448&contentlan=2&culture=en-US,
5,Organisation budget,10,Finland,,2,,
6,Forward budget,10,Finland,,2,,
7,Audit,10,Finland,,2,,
8,Country strategy,10,Finland,,4,http://formin.finland.fi/public/default.aspx?nodeid=15371&contentlan=2&culture=en-US,
9,Country forward budget,10,Finland,,2,,
10,Evaluation,10,Finland,,3,http://formin.finland.fi/public/default.aspx?nodeid=15454&contentlan=2&culture=en-US,
11,Results,10,Finland,,2,,
12,Project Implementer,10,Finland,,4,http://formin.finland.fi/public/default.aspx?contentid=201714&nodeid=43287&contentlan=1&culture=fi-FI,
13,Collaboration type,10,Finland,,4,http://formin.finland.fi/public/default.aspx?contentid=201714&nodeid=43287&contentlan=1&culture=fi-FI,
14,Flow type: ODA / OOF,10,Finland,,2,,
15,Project / budget support,10,Finland,,4,http://formin.finland.fi/public/default.aspx?contentid=201714&nodeid=43287&contentlan=1&culture=fi-FI,
16,Grant / loan,10,Finland,,2,,
